"filename", "language", "TypeScript JSX", "JavaScript", "TypeScript", "JSON with Comments", "XML", "Markdown", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\Interface\CartItem.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\IsAuth.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\Popular\page.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 0, 0, 0, 2, 4, 25
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\SigningOut\page.tsx", "TypeScript JSX", 31, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\animations\Later.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\axios\dataStore.ts", "TypeScript", 0, 0, 76, 0, 0, 0, 0, 0, 0, 16, 92
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\BestCategory.tsx", "TypeScript JSX", 71, 0, 0, 0, 0, 0, 0, 0, 0, 9, 80
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\MainShopProduct.tsx", "TypeScript JSX", 81, 0, 0, 0, 0, 0, 0, 0, 0, 6, 87
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\ProductCard.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\TrendingProduct.tsx", "TypeScript JSX", 29, 0, 0, 0, 0, 0, 0, 0, 1, 5, 35
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\Container\UserCart.tsx", "TypeScript JSX", 171, 0, 0, 0, 0, 0, 0, 0, 0, 17, 188
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\common\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\common\Input.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\layout\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\layout\Header.tsx", "TypeScript JSX", 80, 0, 0, 0, 0, 0, 0, 0, 0, 4, 84
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\layout\Navbar.tsx", "TypeScript JSX", 65, 0, 0, 0, 0, 0, 0, 0, 0, 8, 73
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\layout\Sidebar.tsx", "TypeScript JSX", 33, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\pages\CartComponent.tsx", "TypeScript JSX", 42, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\pages\ProductList.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\pages\UserAuth.tsx", "TypeScript JSX", 86, 0, 0, 0, 0, 0, 0, 0, 0, 10, 96
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\buyer-dashboard\components\ui\AllproductCard.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
