"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "XML", "Markdown", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\hooks\ReusableHooks.ts", "TypeScript", 0, 0, 81, 0, 0, 0, 0, 0, 0, 13, 94
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\hooks\UseHooks.ts", "TypeScript", 0, 0, 79, 0, 0, 0, 0, 0, 5, 7, 91
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 4, 15
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\SellerDashboard\types\types.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 67, 0, 0, 4, 71
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 4, 32
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\components.json", "JSON", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\express.d.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\next.config.mjs", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 0, 14
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\package-lock.json", "JSON", 0, 0, 0, 12913, 0, 0, 0, 0, 0, 1, 12914
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\package.json", "JSON", 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 71
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\postcss.config.mjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\api\index.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 10, 40
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\config\config.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\config\db.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 1, 5, 27
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\controllers\userController.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 1, 39, 106
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\express.d.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\middleware\AuthenticatedJWT.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 9, 17
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\middleware\authMiddleware.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 18, 43
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\models\product.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 5, 70
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\models\user.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\package-lock.json", "JSON", 0, 0, 0, 2326, 0, 0, 0, 0, 0, 1, 2327
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\package.json", "JSON", 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 38
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\routes\protectedRoutes.ts", "TypeScript", 0, 0, 145, 0, 0, 0, 0, 0, 0, 36, 181
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\routes\userRoutes.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\routes\verificationRoutes.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 17, 41
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\services\sendMail.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\server\vercel.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\tailwind.config.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 1, 0, 82
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\tailwind.config.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\joene\OneDrive\Desktop\Tobi File\With Tobi Projects\online-marketplace\tsconfig.json", "JSON with Comments", 0, 43, 0, 0, 0, 0, 0, 0, 1, 0, 44
"Total", "-", 100, 43, 846, 15370, 2, 70, 343, 3237, 74, 919, 21004
